설치장소,설치위치,운영시간,발급민원종류,소재지도로명주소,소재지지번주소,관리기관명,전화번호,위도,경도,데이터기준일자
진관동 주민센터,1층 민원실,(평일)08:00~19:00,주민등록등본+주민등록초본+가족관계증명서+기본증명서+혼인관계증명서+입양증명서+개별공시지가확인원+토지(임야)대장+토지이용계획확인원+건축물관리대장+대지권등록부+세목별과세(납세)증명서+국민기초수급자증명+장애인증명+한부모가족증명+건설기계등록원부(갑/을)+자동차등록원부(갑/을)+농지원부+병적증명서+부동산등기부등본+제적 등본+제적 초본+검정고시 성적증명서+검정고시 과목합격 증명서+검정고시 합격증명서+제적(정원외 관리)증명서+성적증명서+교육비납입증명서+학교생활기록부+졸업(예정)증명서+어선원부+사업자등록증명서+휴업사실증명서+폐업사실증명서+사업자단위과세적용종된사업장증명서+모범납세자증명서+근로(자녀)장려금 수급사실증명서+납세증명서+납부내역증명서+소득금액증명서+부가가치세과세표준증명서+부가세면세사업자수입금액증명서+연금보험료등소득·세액공제확인서+소득확인증명서+지역가입자 건강장기요양보험료 납부확인서+지역가입자 건강장기요양보험료 납부확인서(연말정산용)+직장가입자 건강장기요양보험료 납부확인서+지역가입자국민연금보험료 납부확인서+직장가입자국민연금보험료 납부확인서+건강보험 자격확인서+건강보험 자격득실확인서,서울특별시 은평구 진관2로 31(진관동),서울특별시 은평구 진관동 78,서울특별시 은평구 진관동주민센터,02-351-5460,37.6350580000,126.9209060000,2026-01-28
진관동 주민센터,1층 민원실,(평일)08:00~19:00,주민등록등본+주민등록초본+개별공시지가확인원+토지(임야)대장+토지이용계획확인원+건축물관리대장+대지권등록부+세목별과세(납세)증명서+국민기초수급자증명+장애인증명+한부모가족증명+건설기계등록원부(갑/을)+자동차등록원부(갑/을)+농지원부+병적증명서+검정고시 성적증명서+검정고시 과목합격 증명서+검정고시 합격증명서+제적(정원외 관리)증명서+성적증명서+교육비납입증명서+학교생활기록부+졸업(예정)증명서+어선원부+사업자등록증명서+휴업사실증명서+폐업사실증명서+사업자단위과세적용종된사업장증명서+모범납세자증명서+근로(자녀)장려금 수급사실증명서+납세증명서+납부내역증명서+소득금액증명서+부가가치세과세표준증명서+부가세면세사업자수입금액증명서+연금보험료등소득·세액공제확인서+소득확인증명서+지역가입자 건강장기요양보험료 납부확인서+지역가입자 건강장기요양보험료 납부확인서(연말정산용)+직장가입자 건강장기요양보험료 납부확인서+지역가입자국민연금보험료 납부확인서+직장가입자국민연금보험료 납부확인서+건강보험 자격확인서+건강보험 자격득실확인서,서울특별시 은평구 진관2로 31(진관동),서울특별시 은평구 진관동 78,서울특별시 은평구 진관동주민센터,02-351-5460,37.6350580000,126.9209060000,2026-01-28
은평구청,청사1층로비,연중무휴 00:00~24:00,주민등록등본+주민등록초본+가족관계증명서+기본증명서+혼인관계증명서+입양증명서+개별공시지가확인원+토지(임야)대장+토지이용계획확인원+건축물관리대장+대지권등록부+세목별과세(납세)증명서+국민기초수급자증명+장애인증명+한부모가족증명+건설기계등록원부(갑/을)+자동차등록원부(갑/을)+농지원부+병적증명서+검정고시 성적증명서+검정고시 과목합격 증명서+검정고시 합격증명서+제적(정원외 관리)증명서+성적증명서+교육비납입증명서+학교생활기록부+졸업(예정)증명서+어선원부+사업자등록증명서+휴업사실증명서+폐업사실증명서+사업자단위과세적용종된사업장증명서+모범납세자증명서+근로(자녀)장려금 수급사실증명서+납세증명서+납부내역증명서+소득금액증명서+부가가치세과세표준증명서+부가세면세사업자수입금액증명서+연금보험료등소득·세액공제확인서+소득확인증명서+지역가입자 건강장기요양보험료 납부확인서+지역가입자 건강장기요양보험료 납부확인서(연말정산용)+직장가입자 건강장기요양보험료 납부확인서+지역가입자국민연금보험료 납부확인서+직장가입자국민연금보험료 납부확인서+건강보험 자격확인서+건강보험 자격득실확인서,서울특별시 은평구 은평로 195,서울특별시 은평구 녹번동 84,서울특별시 은평구청,02-351-6415,37.6024510000,126.9293310000,2026-01-28
은평구청(외부),청사현관옆,연중무휴 00:00~24:00,주민등록등본+주민등록초본+가족관계증명서+기본증명서+혼인관계증명서+입양증명서+개별공시지가확인원+토지(임야)대장+토지이용계획확인원+건축물관리대장+대지권등록부+세목별과세(납세)증명서+국민기초수급자증명+장애인증명+한부모가족증명+건설기계등록원부(갑/을)+자동차등록원부(갑/을)+농지원부+병적증명서+검정고시 성적증명서+검정고시 과목합격 증명서+검정고시 합격증명서+제적(정원외 관리)증명서+성적증명서+교육비납입증명서+학교생활기록부+졸업(예정)증명서+어선원부+사업자등록증명서+휴업사실증명서+폐업사실증명서+사업자단위과세적용종된사업장증명서+모범납세자증명서+근로(자녀)장려금 수급사실증명서+납세증명서+납부내역증명서+소득금액증명서+부가가치세과세표준증명서+부가세면세사업자수입금액증명서+연금보험료등소득·세액공제확인서+소득확인증명서+지역가입자 건강장기요양보험료 납부확인서+지역가입자 건강장기요양보험료 납부확인서(연말정산용)+직장가입자 건강장기요양보험료 납부확인서+지역가입자국민연금보험료 납부확인서+직장가입자국민연금보험료 납부확인서+건강보험 자격확인서+건강보험 자격득실확인서,서울특별시 은평구 은평로 195,서울특별시 은평구 녹번동 84,서울특별시 은평구청,02-351-6415,37.6024510000,126.9293310000,2026-01-28
연신내역,6번출구,연중무휴 06:00~24:00,주민등록등본+주민등록초본+개별공시지가확인원+토지(임야)대장+토지이용계획확인원+건축물관리대장+대지권등록부+세목별과세(납세)증명서+국민기초수급자증명+장애인증명+한부모가족증명+건설기계등록원부(갑/을)+자동차등록원부(갑/을)+농지원부+병적증명서+검정고시 성적증명서+검정고시 과목합격 증명서+검정고시 합격증명서+제적(정원외 관리)증명서+성적증명서+교육비납입증명서+학교생활기록부+졸업(예정)증명서+어선원부+사업자등록증명서+휴업사실증명서+폐업사실증명서+사업자단위과세적용종된사업장증명서+모범납세자증명서+근로(자녀)장려금 수급사실증명서+납세증명서+납부내역증명서+소득금액증명서+부가가치세과세표준증명서+부가세면세사업자수입금액증명서+연금보험료등소득·세액공제확인서+소득확인증명서+지역가입자 건강장기요양보험료 납부확인서+지역가입자 건강장기요양보험료 납부확인서(연말정산용)+직장가입자 건강장기요양보험료 납부확인서+지역가입자국민연금보험료 납부확인서+직장가입자국민연금보험료 납부확인서+건강보험 자격확인서+건강보험 자격득실확인서,서울특별시 은평구 통일로 지하849,서울특별시 은평구 갈현동 397,서울특별시 은평구청,02-351-6415,37.6410526000,126.9218894000,2026-01-28
구파발역,3번출구,연중무휴 06:00~24:00,주민등록등본+주민등록초본+개별공시지가확인원+토지(임야)대장+토지이용계획확인원+건축물관리대장+대지권등록부+세목별과세(납세)증명서+국민기초수급자증명+장애인증명+한부모가족증명+건설기계등록원부(갑/을)+자동차등록원부(갑/을)+농지원부+병적증명서+검정고시 성적증명서+검정고시 과목합격 증명서+검정고시 합격증명서+제적(정원외 관리)증명서+성적증명서+교육비납입증명서+학교생활기록부+졸업(예정)증명서+어선원부+사업자등록증명서+휴업사실증명서+폐업사실증명서+사업자단위과세적용종된사업장증명서+모범납세자증명서+근로(자녀)장려금 수급사실증명서+납세증명서+납부내역증명서+소득금액증명서+부가가치세과세표준증명서+부가세면세사업자수입금액증명서+연금보험료등소득·세액공제확인서+소득확인증명서+지역가입자 건강장기요양보험료 납부확인서+지역가입자 건강장기요양보험료 납부확인서(연말정산용)+직장가입자 건강장기요양보험료 납부확인서+지역가입자국민연금보험료 납부확인서+직장가입자국민연금보험료 납부확인서+건강보험 자격확인서+건강보험 자격득실확인서,서울특별시 은평구 진관2로 지하15-25,서울특별시 은평구 진관동 67-26,서울특별시 은평구청,02-351-6415,37.6342193000,126.9200015000,2026-01-28
이마트,2층,10:00~22:00 (이마트 휴무일 미운영),주민등록등본+주민등록초본+개별공시지가확인원+토지(임야)대장+토지이용계획확인원+건축물관리대장+대지권등록부+세목별과세(납세)증명서+국민기초수급자증명+장애인증명+한부모가족증명+건설기계등록원부(갑/을)+자동차등록원부(갑/을)+농지원부+병적증명서+검정고시 성적증명서+검정고시 과목합격 증명서+검정고시 합격증명서+제적(정원외 관리)증명서+성적증명서+교육비납입증명서+학교생활기록부+졸업(예정)증명서+어선원부+사업자등록증명서+휴업사실증명서+폐업사실증명서+사업자단위과세적용종된사업장증명서+모범납세자증명서+근로(자녀)장려금 수급사실증명서+납세증명서+납부내역증명서+소득금액증명서+부가가치세과세표준증명서+부가세면세사업자수입금액증명서+연금보험료등소득·세액공제확인서+소득확인증명서+지역가입자 건강장기요양보험료 납부확인서+지역가입자 건강장기요양보험료 납부확인서(연말정산용)+직장가입자 건강장기요양보험료 납부확인서+지역가입자국민연금보험료 납부확인서+직장가입자국민연금보험료 납부확인서+건강보험 자격확인서+건강보험 자격득실확인서,서울특별시 은평구 은평로 111,서울특별시 은평구 응암동 90-1,서울특별시 은평구청,02-351-6415,37.6007771000,126.9204992000,2026-01-28
불광NC백화점,지하2층,09:00~22:00 (백화점 휴무일 미운영),주민등록등본+주민등록초본+개별공시지가확인원+토지(임야)대장+토지이용계획확인원+건축물관리대장+대지권등록부+세목별과세(납세)증명서+국민기초수급자증명+장애인증명+한부모가족증명+건설기계등록원부(갑/을)+자동차등록원부(갑/을)+농지원부+병적증명서+검정고시 성적증명서+검정고시 과목합격 증명서+검정고시 합격증명서+제적(정원외 관리)증명서+성적증명서+교육비납입증명서+학교생활기록부+졸업(예정)증명서+어선원부+사업자등록증명서+휴업사실증명서+폐업사실증명서+사업자단위과세적용종된사업장증명서+모범납세자증명서+근로(자녀)장려금 수급사실증명서+납세증명서+납부내역증명서+소득금액증명서+부가가치세과세표준증명서+부가세면세사업자수입금액증명서+연금보험료등소득·세액공제확인서+소득확인증명서+지역가입자 건강장기요양보험료 납부확인서+지역가입자 건강장기요양보험료 납부확인서(연말정산용)+직장가입자 건강장기요양보험료 납부확인서+지역가입자국민연금보험료 납부확인서+직장가입자국민연금보험료 납부확인서+건강보험 자격확인서+건강보험 자격득실확인서,서울특별시 은평구 불광로 20,서울특별시 은평구 대조동 240,서울특별시 은평구청,02-351-6415,37.6097560000,126.9288820000,2026-01-28
불광역,5번출구,연중무휴 06:00~24:00,주민등록등본+주민등록초본+개별공시지가확인원+토지(임야)대장+토지이용계획확인원+건축물관리대장+대지권등록부+세목별과세(납세)증명서+국민기초수급자증명+장애인증명+한부모가족증명+건설기계등록원부(갑/을)+자동차등록원부(갑/을)+농지원부+병적증명서+검정고시 성적증명서+검정고시 과목합격 증명서+검정고시 합격증명서+제적(정원외 관리)증명서+성적증명서+교육비납입증명서+학교생활기록부+졸업(예정)증명서+어선원부+사업자등록증명서+휴업사실증명서+폐업사실증명서+사업자단위과세적용종된사업장증명서+모범납세자증명서+근로(자녀)장려금 수급사실증명서+납세증명서+납부내역증명서+소득금액증명서+부가가치세과세표준증명서+부가세면세사업자수입금액증명서+연금보험료등소득·세액공제확인서+소득확인증명서+지역가입자 건강장기요양보험료 납부확인서+지역가입자 건강장기요양보험료 납부확인서(연말정산용)+직장가입자 건강장기요양보험료 납부확인서+지역가입자국민연금보험료 납부확인서+직장가입자국민연금보험료 납부확인서+건강보험 자격확인서+건강보험 자격득실확인서,서울특별시 은평구 통일로 723-1,서울특별시 은평구 대조동 13-10,서울특별시 은평구청,02-351-6415,37.6102061800,126.9299850000,2026-01-28
은평구민체육센터,1층,"06:00~22:00(일요일,공휴일 휴무)",주민등록등본+주민등록초본+개별공시지가확인원+토지(임야)대장+토지이용계획확인원+건축물관리대장+대지권등록부+세목별과세(납세)증명서+국민기초수급자증명+장애인증명+한부모가족증명+건설기계등록원부(갑/을)+자동차등록원부(갑/을)+농지원부+병적증명서+검정고시 성적증명서+검정고시 과목합격 증명서+검정고시 합격증명서+제적(정원외 관리)증명서+성적증명서+교육비납입증명서+학교생활기록부+졸업(예정)증명서+어선원부+사업자등록증명서+휴업사실증명서+폐업사실증명서+사업자단위과세적용종된사업장증명서+모범납세자증명서+근로(자녀)장려금 수급사실증명서+납세증명서+납부내역증명서+소득금액증명서+부가가치세과세표준증명서+부가세면세사업자수입금액증명서+연금보험료등소득·세액공제확인서+소득확인증명서+지역가입자 건강장기요양보험료 납부확인서+지역가입자 건강장기요양보험료 납부확인서(연말정산용)+직장가입자 건강장기요양보험료 납부확인서+지역가입자국민연금보험료 납부확인서+직장가입자국민연금보험료 납부확인서+건강보험 자격확인서+건강보험 자격득실확인서,서울특별시 은평구 진관1로 40,서울특별시 은평구 진관동 362,서울특별시 은평구청,02-351-6415,37.6304386000,126.9236287000,2026-01-28
은평성모병원,1층,연중무휴 00:00~24:00,주민등록등본+주민등록초본+가족관계증명서+기본증명서+혼인관계증명서+입양증명서+개별공시지가확인원+토지(임야)대장+토지이용계획확인원+건축물관리대장+대지권등록부+세목별과세(납세)증명서+국민기초수급자증명+장애인증명+한부모가족증명+건설기계등록원부(갑/을)+자동차등록원부(갑/을)+농지원부+병적증명서+검정고시 성적증명서+검정고시 과목합격 증명서+검정고시 합격증명서+제적(정원외 관리)증명서+성적증명서+교육비납입증명서+학교생활기록부+졸업(예정)증명서+어선원부+사업자등록증명서+휴업사실증명서+폐업사실증명서+사업자단위과세적용종된사업장증명서+모범납세자증명서+근로(자녀)장려금 수급사실증명서+납세증명서+납부내역증명서+소득금액증명서+부가가치세과세표준증명서+부가세면세사업자수입금액증명서+연금보험료등소득·세액공제확인서+소득확인증명서+지역가입자 건강장기요양보험료 납부확인서+지역가입자 건강장기요양보험료 납부확인서(연말정산용)+직장가입자 건강장기요양보험료 납부확인서+지역가입자국민연금보험료 납부확인서+직장가입자국민연금보험료 납부확인서+건강보험 자격확인서+건강보험 자격득실확인서,서울특별시 은평구 통일로 1021,서울특별시 은평구 진관동 55,서울특별시 은평구청,02-351-6415,37.6336084100,126.9161505000,2026-01-28
e-푸른 새마을금고 본점,1층,연중무휴 07:00~23:00,주민등록등본+주민등록초본+개별공시지가확인원+토지(임야)대장+토지이용계획확인원+건축물관리대장+대지권등록부+세목별과세(납세)증명서+국민기초수급자증명+장애인증명+한부모가족증명+건설기계등록원부(갑/을)+자동차등록원부(갑/을)+농지원부+병적증명서+검정고시 성적증명서+검정고시 과목합격 증명서+검정고시 합격증명서+제적(정원외 관리)증명서+성적증명서+교육비납입증명서+학교생활기록부+졸업(예정)증명서+어선원부+사업자등록증명서+휴업사실증명서+폐업사실증명서+사업자단위과세적용종된사업장증명서+모범납세자증명서+근로(자녀)장려금 수급사실증명서+납세증명서+납부내역증명서+소득금액증명서+부가가치세과세표준증명서+부가세면세사업자수입금액증명서+연금보험료등소득·세액공제확인서+소득확인증명서+지역가입자 건강장기요양보험료 납부확인서+지역가입자 건강장기요양보험료 납부확인서(연말정산용)+직장가입자 건강장기요양보험료 납부확인서+지역가입자국민연금보험료 납부확인서+직장가입자국민연금보험료 납부확인서+건강보험 자격확인서+건강보험 자격득실확인서,서울특별시 은평구 응암로 178-1,서울특별시 은평구 응암동 602-41,서울특별시 은평구청,02-351-6415,37.5878639800,126.9169717000,2026-01-28
우리들  새마을금고 새절역지점,1층,연중무휴 07:00~23:00,주민등록등본+주민등록초본+개별공시지가확인원+토지(임야)대장+토지이용계획확인원+건축물관리대장+대지권등록부+세목별과세(납세)증명서+국민기초수급자증명+장애인증명+한부모가족증명+건설기계등록원부(갑/을)+자동차등록원부(갑/을)+농지원부+병적증명서+검정고시 성적증명서+검정고시 과목합격 증명서+검정고시 합격증명서+제적(정원외 관리)증명서+성적증명서+교육비납입증명서+학교생활기록부+졸업(예정)증명서+어선원부+사업자등록증명서+휴업사실증명서+폐업사실증명서+사업자단위과세적용종된사업장증명서+모범납세자증명서+근로(자녀)장려금 수급사실증명서+납세증명서+납부내역증명서+소득금액증명서+부가가치세과세표준증명서+부가세면세사업자수입금액증명서+연금보험료등소득·세액공제확인서+소득확인증명서+지역가입자 건강장기요양보험료 납부확인서+지역가입자 건강장기요양보험료 납부확인서(연말정산용)+직장가입자 건강장기요양보험료 납부확인서+지역가입자국민연금보험료 납부확인서+직장가입자국민연금보험료 납부확인서+건강보험 자격확인서+건강보험 자격득실확인서,서울특별시 은평구 증산로 387-1,서울특별시 은평구 신사동 337-6,서울특별시 은평구청,02-351-6415,37.5909823500,126.9132635000,2026-01-28
법원전용 은평구청,본관 1층,(평일)09:00~18:00,법인인감증명서+법인등기부등본+부동산등기부등본,서울특별시 은평구 은평로 195,서울특별시 은평구 녹번동 84,서울특별시 은평구청,02-351-6415,37.6024569700,126.9288236000,2026-01-28
구산역,1번출구,연중무휴 06:00~24:00,주민등록등본+주민등록초본+개별공시지가확인원+토지(임야)대장+토지이용계획확인원+건축물관리대장+대지권등록부+세목별과세(납세)증명서+국민기초수급자증명+장애인증명+한부모가족증명+건설기계등록원부(갑/을)+자동차등록원부(갑/을)+농지원부+병적증명서+검정고시 성적증명서+검정고시 과목합격 증명서+검정고시 합격증명서+제적(정원외 관리)증명서+성적증명서+교육비납입증명서+학교생활기록부+졸업(예정)증명서+어선원부+사업자등록증명서+휴업사실증명서+폐업사실증명서+사업자단위과세적용종된사업장증명서+모범납세자증명서+근로(자녀)장려금 수급사실증명서+납세증명서+납부내역증명서+소득금액증명서+부가가치세과세표준증명서+부가세면세사업자수입금액증명서+연금보험료등소득·세액공제확인서+소득확인증명서+지역가입자 건강장기요양보험료 납부확인서+지역가입자 건강장기요양보험료 납부확인서(연말정산용)+직장가입자 건강장기요양보험료 납부확인서+지역가입자국민연금보험료 납부확인서+직장가입자국민연금보험료 납부확인서+건강보험 자격확인서+건강보험 자격득실확인서,서울특별시 은평구 대조동 207-16,서울특별시 은평구 대조동 207-16,서울특별시 은평구청,02-351-6415,37.6111713900,126.9175581000,2026-01-28
국민건강보험공단 은평지사,2층 민원실 내,(평일)09:00~18:00,주민등록등본+주민등록초본+가족관계증명서+기본증명서+혼인관계증명서+입양증명서+개별공시지가확인원+토지(임야)대장+토지이용계획확인원+건축물관리대장+대지권등록부+세목별과세(납세)증명서+국민기초수급자증명+장애인증명+한부모가족증명+건설기계등록원부(갑/을)+자동차등록원부(갑/을)+농지원부+병적증명서+검정고시 성적증명서+검정고시 과목합격 증명서+검정고시 합격증명서+제적(정원외 관리)증명서+성적증명서+교육비납입증명서+학교생활기록부+졸업(예정)증명서+어선원부+사업자등록증명서+휴업사실증명서+폐업사실증명서+사업자단위과세적용종된사업장증명서+모범납세자증명서+근로(자녀)장려금 수급사실증명서+납세증명서+납부내역증명서+소득금액증명서+부가가치세과세표준증명서+부가세면세사업자수입금액증명서+연금보험료등소득·세액공제확인서+소득확인증명서+지역가입자 건강장기요양보험료 납부확인서+지역가입자 건강장기요양보험료 납부확인서(연말정산용)+직장가입자 건강장기요양보험료 납부확인서+지역가입자국민연금보험료 납부확인서+직장가입자국민연금보험료 납부확인서+건강보험 자격확인서+건강보험 자격득실확인서,서울특별시 은평구 통일로71길 16,서울특별시 은평구 대조동 84-1,서울특별시 은평구청,02-351-6415,37.613212,?126.926107,2026-01-28
